waypoint1	waypoint2	distance_m	duration_s
Kingsholm Stadium, Kingsholm Road, Gloucester	Twickenham Stadium, Whitton Road, Twickenham	168892	32128
Elland Road, UK	Twickenham Stadium, Whitton Road, Twickenham	355171	68009
Elland Road, UK	St. James' Park, Barrack Road, Newcastle upon Tyne	170399	32195
Stadium MK, Grafton Street, Bletchley	King Power Stadium, Filbert Way, Leicester	90660	17379
Millennium Stadium, Westgate Street, Cardiff	Stadium MK, Grafton Street, Bletchley	250069	48207
Elland Road, UK	King Power Stadium, Filbert Way, Leicester	173915	34819
Stadium MK, Grafton Street, Bletchley	St. James' Park, Barrack Road, Newcastle upon Tyne	436540	82104
The Stadium, Queen Elizabeth Olympic Park	St. James' Park, Barrack Road, Newcastle upon Tyne	514691	93898
The Stadium, Queen Elizabeth Olympic Park	Twickenham Stadium, Whitton Road, Twickenham	29565	6122
Wembley Stadium, Wembley	Stadium MK, Grafton Street, Bletchley	75540	13953
The Stadium, Queen Elizabeth Olympic Park	Kingsholm Stadium, Kingsholm Road, Gloucester	194546	36883
Millennium Stadium, Westgate Street, Cardiff	Twickenham Stadium, Whitton Road, Twickenham	280817	54102
City of Manchester Stadium, Ashton New Road, Manchester	Wembley Stadium, Wembley	330770	60546
City of Manchester Stadium, Ashton New Road, Manchester	Villa Park, Trinity Road, Birmingham	137383	25865
Twickenham Stadium, Whitton Road, Twickenham	St. James' Park, Barrack Road, Newcastle upon Tyne	529524	98551
Millennium Stadium, Westgate Street, Cardiff	brighton community stadium, UK	338527	64397
Wembley Stadium, Wembley	St. James' Park, Barrack Road, Newcastle upon Tyne	512945	96107
